address,lat,lon
Appartement type R (Bouwnr. 228),51.47077276666667,4.090063566666667
Waterappartement (Bouwnr. 461),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 441),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 478),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 229),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 42),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 199),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 132),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 33),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 238),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 465),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 235),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 206),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 218),51.47077276666667,4.090063566666667
Waterappartement (Bouwnr. 472),51.47077276666667,4.090063566666667
Stadsmaisonnette (Bouwnr. 411),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 237),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 51),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 105),51.47077276666667,4.090063566666667
Appartement type J (Bouwnr. 176),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 5),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 198),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 68),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 150),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 231),51.47077276666667,4.090063566666667
Appartement type M (Bouwnr. 179),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 459),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 41),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 234),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 211),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 423),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 24),51.47077276666667,4.090063566666667
Appartement type P (Bouwnr. 222),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 468),51.47077276666667,4.090063566666667
Waterappartement XXL (Bouwnr. 464),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 227),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 87),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 439),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 467),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 77),51.47077276666667,4.090063566666667
Appartement type N (Bouwnr. 180),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 114),51.47077276666667,4.090063566666667
Waterappartement (Bouwnr. 434),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 230),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 448),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 457),51.47077276666667,4.090063566666667
Waterappartement (Bouwnr. 453),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 123),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 232),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 476),51.47077276666667,4.090063566666667
Waterappartement (Bouwnr. 462),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 466),51.47077276666667,4.090063566666667
Waterappartement XXL (Bouwnr. 455),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 431),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 204),51.47077276666667,4.090063566666667
Tjasker 2,51.8670762,5.390457
Nijenburg 3,51.8719047,4.5000097
Emmalaan 4-D,51.9465419,4.4778055
Marnixstraat 67,52.0778089,4.2898995
Copernicusstraat 65-E,52.0780462,4.2808674
Emmalaan 4-B,52.0940619,5.14084
Silvoldestraat 42,52.2905282,4.9694323
Silvoldestraat 43,52.2909498,4.9691792
Tielstraat 77,52.2919563,4.9690227
Tielstraat 103,52.291965,4.9690817
Wethouder Serrurierstraat 34,52.2920754,4.9880038
Wethouder Insingerstraat 15,52.2921593,4.9862441
Wethouder Serrurierstraat 13,52.2921621,4.9870649
Wethouder Ramstraat 60,52.292372,4.9906982
Wethouder Ed. Polakstraat 29,52.2923847,4.9891297
Scherpenzeelstraat 21,52.2933992,4.9782442
Schaarsbergenstraat 19,52.2934083,4.9808973
Schelluinenstraat 19,52.293458,4.9796655
Schelluinenstraat 26,52.2935855,4.9801481
Schaarsbergenstraat 55,52.2936602,4.9809534
Streefkerkstraat 21,52.2937746,4.9855113
Stellendamstraat 28,52.2938883,4.9845721
Wethouder De Vriesplantsoen 15,52.2942042,4.990286
Scherpenzeelstraat 153,52.2945767,4.978292
Renooiplein 33,52.2946768,4.9760337
Soesterberghof 79,52.2949437,4.9804581
Soesterberghof 50,52.2949468,4.9812938
Ommerenhof 56,52.2950206,4.9664584
Wethouder De Roosplein 166,52.2950339,4.9909958
Ommerenhof 53,52.2950743,4.9664139
Wethouder De Roosplein 210,52.2951886,4.991582
Opijnenhof 23,52.2952307,4.9674239
Wethouder De Roosplein 33,52.2953265,4.9898949
Werkendamstraat 17,52.2954252,4.9845875
Wethouder De Roosplein 229,52.2955026,4.9915351
Ophemerthof 53,52.2961582,4.9653775
Rhenenhof 72,52.297288,4.9722567
Millingenhof 342,52.2973038,4.9690901
Renswoudestraat 22,52.2973607,4.9750269
Papendrechtstraat 81,52.2978433,4.9767815
Voorthuizenstraat 54,52.2983671,4.9854258
Vreeswijkpad 198,52.2983871,4.9924858
Voorthuizenstraat 40,52.2985017,4.9854246
Wamelplein 81,52.2985251,4.9869783
Voorthuizenstraat 24,52.2986097,4.9854236
Wamelplein 105,52.2986618,4.9875195
Pietersbergweg 239,52.2986932,4.954445
Wamelplein 67,52.2987945,4.9868879
Poederooienstraat 125,52.2988985,4.9805099
Wamelplein 169,52.29906,4.9883369
Wamelplein 173,52.2990601,4.9883515
Wamelplein 154,52.2992928,4.9880709
Pannerdenstraat 1,52.2995353,4.9774987
Polsbroekstraat 34,52.2998443,4.9785075
Wamelstraat 35,52.3003217,4.9866983
Wamelstraat 78,52.3006922,4.9872813
Hondsrugweg 19-R3,52.3058182,4.9452409
Hondsrugweg 19-U3,52.3058246,4.945235
Leerdamhof 369,52.3059418,4.9769852
Leerdamhof 396,52.305971,4.97763
Hobaostraat 1-E,52.3062237,4.9468954
SPOT Amsterdam | Scarlet (Bouwnr. D.17.02),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.03.07),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.17.04),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.18.04),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 94),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 39),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 11),52.30625522,4.94628754
Hiraistraat 5-B178,52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.23.04),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 89),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.03.08),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 85),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.20.01),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.23.03),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 114),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 106),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 76),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 19),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 56),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 111),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 20),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.17.01),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.24.03),52.30625522,4.94628754
V11B (Bouwnr. 122),52.30625522,4.94628754
V13 (Bouwnr. 132),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 24),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 118),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 110),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 94),52.30625522,4.94628754
V13 (Bouwnr. 144),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 97),52.30625522,4.94628754
V14 (Bouwnr. 121),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.25.03),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 130),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.19.01),52.30625522,4.94628754
V14 (Bouwnr. 139),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 92),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 116),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.19.02),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 120),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.03.05),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 90),52.30625522,4.94628754
V10 (Bouwnr. 147),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 7),52.30625522,4.94628754
V09 (Bouwnr. 130),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 99),52.30625522,4.94628754
V09 (Bouwnr. 124),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 27),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.02.06),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 84),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.25.01),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 105),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 105),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.03.02),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 96),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 114),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.23.01),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 15),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 87),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 106),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 16),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 88),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.21.01),52.30625522,4.94628754
Hiraistraat 5-B113,52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 117),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.22.04),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.16.01),52.30625522,4.94628754
V11B (Bouwnr. 152),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 147),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.20.04),52.30625522,4.94628754
Hiraistraat 5-B94,52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 8),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 48),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.19.04),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.22.01),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 122),52.30625522,4.94628754
V10 (Bouwnr. 135),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 139),52.30625522,4.94628754
V09 (Bouwnr. 142),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 113),52.30625522,4.94628754
V10 (Bouwnr. 141),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 129),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 59),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 95),52.30625522,4.94628754
V11B (Bouwnr. 146),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. A1-63),52.30625522,4.94628754
V11B (Bouwnr. 140),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.18.02),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.14.02),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 102),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 108),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 72),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.24.01),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.20.03),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 44),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 148),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 98),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 49),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 1),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 60),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 141),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 67),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.24.04),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 40),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.21.04),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 2),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 123),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 112),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.11.03),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 91),52.30625522,4.94628754
V14 (Bouwnr. 133),52.30625522,4.94628754
V09 (Bouwnr. 136),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 43),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 71),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.11.02),52.30625522,4.94628754
V11B (Bouwnr. 134),52.30625522,4.94628754
SPOT Amsterdam | Scarlet (Bouwnr. D.18.01),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 91),52.30625522,4.94628754
Hondsrugweg (Bouwnr. 116),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 101),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 36),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 64),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 12),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 52),52.30625522,4.94628754
SPOT Amsterdam | Crystal (Bouwnr. 142),52.30625522,4.94628754
Leerdamhof 295,52.3063354,4.9764683
Leerdamhof 323,52.3063741,4.9772598
Leerdamhof 328,52.3064014,4.9773475
Leusdenhof 390,52.306456,4.9801475
Leerdamhof 345,52.3065376,4.9777421
Hogehilweg 12-B3,52.3067048,4.9470332
Hogehilweg 12-B98,52.3067048,4.9470332
Leusdenhof 366,52.3069973,4.9807437
Leusdenhof 220,52.3070345,4.9785
Leerdamhof 245,52.307036,4.9763152
Leusdenhof 240,52.3071888,4.9789385
Leerdamhof 50,52.3074269,4.9749483
Leerdamhof 83,52.30768,4.9754295
Leerdamhof 105,52.307869,4.9755157
Leusdenhof 153,52.3079951,4.9781686
Leerdamhof 167,52.308338,4.975966
Liendenhof 59,52.3084134,4.9848364
Liendenhof 66,52.3084851,4.9847771
Liendenhof 72,52.3085831,4.9845123
Leusdenhof 14,52.3086688,4.9780599
Leusdenhof 82,52.3091295,4.97873
Leusdenhof 127,52.3094455,4.9791523
Hogevecht 146,52.3097328,4.95868
Leksmondhof 20,52.3102262,4.9813887
Leksmondhof 28,52.3102442,4.981447
Jan Tooropstraat 101,52.3106859,5.0370657
Haardstee 94,52.3111918,4.9521545
Haardstee 72,52.311392,4.9528124
Hofgeest 133,52.3116503,4.9570045
Hofgeest 91-B,52.3117039,4.9570033
Hofgeest 73,52.3119039,4.9576175
Hofgeest 14,52.3121034,4.9581286
Hoogoord 33,52.3126214,4.9547654
